"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","description","treatment"
"LOC115131673",100.828268389963,0.291831928757511,0.120162577774693,8.22039500802449e-06,0.0266090237591685,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 5-like","liver"
"LOC115128702",153.550384216592,0.280644724524933,0.100751919474084,1.93122531445321e-05,0.0266090237591685,"26S proteasome complex subunit SEM1","liver"
"LOC115139187",143.999694322358,0.267593657834018,0.0969875038264727,3.76913445262022e-05,0.0266090237591685,"splicing factor 3B subunit 6","liver"
"LOC115133295",217.205891168774,0.262891330411836,0.113119829609557,4.46044153190487e-05,0.0266090237591685,"oligosaccharyltransferase complex subunit ostc, transcript variant X2","liver"
"LOC115123161",148.108566323141,0.261333668502563,0.11363872687302,4.69505305267503e-05,0.0266090237591685,"ferritin, middle subunit-like","liver"
"LOCNA.2988",103.888393846575,0.259252799078958,0.115335948064279,4.74585435868906e-05,0.0266090237591685,NA,"liver"
"LOC115125161",136.916425934153,0.258626551790209,0.108325288462145,6.41241551715835e-05,0.0278496138537508,"60S ribosomal protein L32-like","liver"
"LOC115138705",700.210109238123,0.255078800051054,0.0971100463802548,7.83231488010362e-05,0.0290814747470147,"proteasome subunit alpha type-3","liver"
"LOC115106387",42.5959204661262,0.250520678517579,0.109533913468511,9.27145847407481e-05,0.0290814747470147,"dnaJ homolog subfamily C member 9-like, transcript variant X1","liver"
"LOC115112920",65.1284244089856,0.249813624690567,0.0831168494089387,5.55437163806237e-05,0.0266090237591685,"renin receptor-like","liver"
"LOC115111363",98.3469336555325,0.249341706769837,0.0973115239518304,0.000108841121123794,0.0317880970231548,"glutaredoxin-1-like, transcript variant X1","liver"
"LOC115135049",94.6064474653255,0.249017921569655,0.10245108728703,0.000114146081588652,0.0317880970231548,"bladder cancer-associated protein, transcript variant X2","liver"
"LOCNA.4406",158.25734298771,0.24833687258956,0.0998448581644966,0.000118234154708865,0.0317880970231548,NA,"liver"
"LOC115146293",46.7356256965599,0.248199816076508,0.124875749528534,3.08815706051313e-05,0.0266090237591685,"MARCKS-related protein 1-A-like","liver"
"LOC115135968",118.176869419857,0.246733457454072,0.0979808630232234,0.000127072854897413,0.0326115153977633,"malate dehydrogenase, mitochondrial-like","liver"
"LOC115105069",181.193886984798,0.237842808472207,0.103009352273591,0.000203477137232104,0.0441858429543254,"eukaryotic translation initiation factor 1b","liver"
"LOCNA.1800",67.9021499002825,0.237603559203514,0.085901329681675,0.000145892367850471,0.0358134047340766,NA,"liver"
"LOC115140097",81.1122763616699,0.23605294079262,0.0984039050504333,0.000228249254223541,0.0460248317623611,"transcobalamin-2-like","liver"
"LOC115116869",559.328758645918,0.234131518102625,0.0899826234750771,0.00021568488317467,0.0451021055705255,"cytochrome c oxidase subunit NDUFA4-like","liver"
"LOC115107636",84.8333385619588,0.233701118286187,0.0973503659354776,0.000257584384359063,0.0497908750353265,"COP9 signalosome complex subunit 8-like, transcript variant X1","liver"
"LOC115145216",204.780302746805,0.230215041354905,0.0897355459258581,0.000268383879766034,0.0497908750353265,"V-type proton ATPase 16 kDa proteolipid subunit","liver"
"LOC115104729",486.108115545581,0.218949980198294,0.072811044730726,0.000174624290901538,0.0410803644345867,"cytochrome b-c1 complex subunit 9-like","liver"
"LOC115142640",109.095304773969,0.216139385977212,0.0722380526528381,0.000199150237342664,0.0441858429543254,"protein dpy-30 homolog, transcript variant X1","liver"
"LOC115109712",198.667896808025,0.21319900650133,0.0618176277391008,5.65547795093911e-05,0.0266090237591685,"rab GDP dissociation inhibitor beta-like","liver"
"LOC115119000",370.058749408274,0.203632913927838,0.0674632031384283,0.000273382416949189,0.0497908750353265,"transmembrane emp24 domain-containing protein 10-like","liver"
"LOC115122299",289.917971707057,0.19020640873737,0.12697834172455,8.77156522334106e-05,0.0290814747470147,"mannose-binding protein C-like","liver"
"LOC115116544",234.119529787756,-0.157257647574897,0.127371277897871,8.610504772068e-05,0.0290814747470147,"alpha-tubulin N-acetyltransferase 1-like, transcript variant X2","liver"
"LOC115107543",70.3369688879812,-0.23228087410413,0.121408444358885,8.53302707282092e-05,0.0290814747470147,"pleckstrin homology domain-containing family G member 3-like, transcript variant X4","liver"
"LOC115119914",74.829884789362,-0.245575315077458,0.126061056399783,2.83511316428094e-05,0.0266090237591685,"unconventional myosin-XVI-like","liver"
"LOC115102558",1927.85097847973,-0.252133829424392,0.0762934015713068,2.42967189468321e-05,0.0266090237591685,"low-density lipoprotein receptor-related protein 1-like","liver"
"LOC115118360",38.4238213979648,-0.262329630410295,0.128706023483129,1.11868692156967e-05,0.0266090237591685,"coagulation factor X-like","liver"
